5.91720, 45.57000, La Banque Postale, Chambery, square P. Vidal
-0.37065, 43.30306, Caixa Bank, Pau
7.80821, 48.81506, Groupe CIC-Credit Mutuel, Haguenau, Cora
2.38188, 48.91387, Groupe LCL, Aubervilliers, centre
5.72201, 45.18533, Credit Agricole, Grenoble, 2 rue Turenne
2.27398, 48.88070, Groupe BNP-Paribas, Neuilly, Sablons
2.37468, 48.86507, Banque Societe Generale, Paris, avenue Parmentier
4.09822, 48.27325, Groupe La Banque Postale, Saint Julien les Villas, rue Gambetta - pres Eglise
2.43616, 48.72798, Groupe La Banque Postale, Villeneuve le Roi, avenue Le Foll
4.94387, 49.70234, Groupe CIC-Credit Mutuel, Sedan
2.80227, 50.53009, Groupe CIC-Credit Mutuel, La Bassee
6.48039, 46.37064, Banque Societe Generale, Thonon les Bains, place des Arts
2.33284, 48.63850, Groupe LCL, Sainte Genevieve des Bois, d'117
3.98229, 43.67359, Groupe CIC-Credit Mutuel, Castries
2.30604, 48.75315, Groupe HSBC, Antony, 6 rue Jean Moulin
1.08741, 49.43215, Groupe CIC-Credit Mutuel, Rouen, Saint Sever
2.34640, 48.88000, Credit Agricole, Paris, 62 rue Rochechouart
7.23264, 47.93282, Groupe CIC-Credit Mutuel, Orschwihr
-1.42550, 43.64554, Groupe CIC-Credit Mutuel, CapBreton, Leclerc
2.47008, 48.40186, Groupe CIC-Credit Mutuel, Milly la Foret
2.02890, 49.02320, La Banque Postale, Vaureal, 30 mail Mendes France
2.95527, 48.38349, Banque Societe Generale, Montereau Fault Yonne, rue Jean Jaures
3.82870, 43.57710, La Banque Postale, Saint Jean de Vedas, 1 rue de l'Ortet
2.10562, 49.04642, Groupe BNP-Paribas, Saint Ouen l'Aumone
-2.01674, 48.63795, Groupe CIC-Credit Mutuel, Saint Servan
2.38538, 48.52491, Banque Societe Generale, Ballancourt sur Essone
6.21360, 49.36970, La Banque Postale, Yutz, rue Nationale
2.36080, 48.77151, Banque Societe Generale, Chevilly LaRue, rue Edith Piaf
-0.95840, 47.70614, Groupe CIC-Credit Mutuel, Noyant la Gravoyere
3.56840, 47.79520, La Banque Postale, Auxerre, 11 rue des Hospitaliers
6.89399, 49.18464, Groupe CIC-Credit Mutuel, Forbach
4.96828, 45.72603, Credit Agricole, Chassieu, 20 avenue Freres Montgolfier
2.30963, 48.97390, Banque Societe Generale, Montmorency
7.74764, 48.55705, Groupe CIC-Credit Mutuel, La Meinau
4.36745, 49.13901, La Banque Postale, Mourmelon Le Grand
-1.40520, 49.66890, Groupe CIC-Credit Mutuel, Saint Pierre Eglise
7.75293, 48.61534, Groupe CIC-Credit Mutuel, Bischheim
5.69253, 45.11920, Credit Agricole, Claix, Palladium
5.38365, 43.28550, Groupe La Banque Postale, Marseille, 26 place Castellane
4.36320, 46.67400, La Banque Postale, Montceau les Mines, 20 rue Carnot
1.89340, 48.71690, Credit Agricole, Les Essarts le Roi, 7 rue du 11 Novembre
1.08730, 49.43320, La Banque Postale, Rouen, place des Emmurees
6.10075, 45.88785, Groupe BNP-Paribas, Seynod, 17 place Saint Jean
1.99820, 48.83000, La Banque Postale, Villepreux, 2 avenue du Tourne Roue
7.28601, 43.69865, Groupe BNP-Paribas, Nice, Port
0.68640, 47.39000, La Banque Postale, Tours, 1 boulevard Beranger
-0.59406, 47.46665, Groupe CIC-Credit Mutuel, Angers, Grand maine
-0.15210, 47.99444, Groupe CIC-Credit Mutuel, Loue
6.98099, 49.10719, Groupe CIC-Credit Mutuel, Sarreguemines
5.73319, 49.50071, Groupe CIC-Credit Mutuel, Longwy Haut, Rehon Lexy
4.72130, 45.74723, Credit Agricole, Craponne
2.00269, 48.98154, Groupe BNP-Paribas, Triel sur Seine
3.88224, 45.04213, Groupe Banque Populaire, Le Puy en Velay, boulevard Saint Louis
2.21580, 43.05350, La Banque Postale, Limoux, 6 place General Leclerc
4.94579, 43.43400, Groupe CIC-Credit Mutuel, Fos sur Mer
2.40118, 48.83486, Banque Societe Generale, Paris, avenue General Bizot
6.16930, 46.67070, Credit Agricole, Mouthe, 32 bis rue de la Varee Atac
5.06592, 44.52280, Banque Societe Generale, Dieulefit, place Chateauras
-1.74656, 48.02424, Groupe CIC-Credit Mutuel, Bruz
-1.37839, 47.71805, Credit Agricole, Chateaubriant
2.31313, 45.55101, Credit Agricole, Ussel, 101 avenue Carnot
2.41194, 49.18865, Groupe La Banque Postale, Gouvieux
2.48290, 48.61301, Groupe LCL, Corbeil Essonnes
1.67570, 46.80640, La Banque Postale, Chateauroux, 34 avenue d'Argenton
2.45994, 48.81483, Groupe BNP-Paribas, Saint Maurice, bord de Marne
5.03157, 45.04459, Groupe CIC-Credit Mutuel, Romans, Hyper U
2.97267, 42.60107, Groupe BNP-Paribas, Elne
6.47070, 43.53170, La Banque Postale, Draguignan, avenue du Marechal Juin
5.21596, 43.41761, Groupe BNP-Paribas, Marignane
4.04068, 46.27367, Groupe BNP-Paribas, Marcigny
2.46790, 48.91170, La Banque Postale, Bobigny, 33 rue de Vienne
1.43210, 49.31000, La Banque Postale, Ecouis, 2 place Gloria
6.63398, 45.41494, Groupe CIC-Credit Mutuel, Courchevel 1850
2.30450, 48.75122, Groupe LCL, Antony, N 20 - 36 avenue de la Division Leclerc
4.44503, 43.86052, Groupe CIC-Credit Mutuel, Marguerittes
0.51460, 49.35380, La Banque Postale, Pont Audemer, 10 rue A. Canel
4.75522, 45.67381, Banque Societe Generale, Brignais, 6 place E. et E. Gamboni
2.66262, 48.53921, Groupe CIC-Credit Mutuel, Melun, Snecma
-0.59627, 44.85592, Groupe HSBC-CCSO, Le Bouscat, 74 avenue de la Liberation
5.94114, 49.41694, Groupe CIC-Credit Mutuel, Aumetz, Intermarche
5.94114, 49.41694, Groupe CIC-Credit Mutuel, Aumetz
2.57753, 44.35621, Groupe BNP-Paribas, Rodez, Sacre Coeur
4.27480, 43.69100, Credit Agricole, Vauvert, 29 rue de la Republique
-2.51200, 48.46760, La Banque Postale, Lamballe, 1 rue Ch. de Blois
-0.58636, 44.84320, Groupe BNP-Paribas, Bordeaux, Saint Seurin
5.93372, 43.12471, Groupe BNP-Paribas, Toulon
2.36906, 48.82738, Groupe BNP-Paribas, Paris, Patay-Tolbiac
2.62970, 48.83200, Credit Agricole, Lognes, boulevard Segrais (Leroy Merlin
1.25670, 45.84490, La Banque Postale, Limoges, rue J. Pouyat
-4.07044, 48.50938, Groupe CIC-Credit Mutuel, Landivisiau
4.11960, 49.04730, La Banque Postale, Tours sur Marne, 1 rue de la Halle
-1.80985, 47.10355, Credit Agricole, Sainte Pazanne
1.90369, 47.90212, Groupe BNP-Paribas, Orleans
-1.71326, 48.12130, Groupe BNP-Paribas, Rennes, Villejean
3.94463, 43.57274, Groupe BNP-Paribas, Perols
0.37487, 46.64956, Groupe CIC-Credit Mutuel, Chasseneuil du Poitou
4.84052, 45.87708, Groupe CIC-Credit Mutuel, Neuville sur Saone
5.54316, 45.17444, Credit Agricole, Autrans
-2.48367, 47.55308, Credit Agricole, Muzillac, 16 rue d'Armorique
2.45720, 48.70650, La Banque Postale, Montgeron, 2 bis rue du Dr L. Deglaire
2.34898, 48.81472, La Banque Postale, Gentilly
2.83210, 46.47420, La Banque Postale, Cosne d'Allier, place du Marche
2.06771, 48.84219, Credit Agricole, Noisy le Roi, 5 rue A. Le Bourblanc
7.94380, 48.75450, Credit Agricole, Drusenheim, 54 rue du General de Gaulle
6.34355, 45.27794, Groupe La Banque Postale, Saint Jean de Maurienne, place E. Fodere
2.46379, 49.19167, Groupe La Banque Postale, Chantilly, 25 avenue du Marechal Joffre
6.16565, 48.69297, Groupe CIC-Credit Mutuel, Nancy, Liberation
3.19130, 50.68590, La Banque Postale, Roubaix, 253 bis rue P. de Roubaix
3.58090, 47.80036, Groupe BNP-Paribas, Auxerre, rive droite
2.28953, 48.91026, Groupe BNP-Paribas, Asnieres, Hotel de Ville
6.21583, 48.68886, Groupe CIC-Credit Mutuel, Tomblaine, CC Auchan
2.04365, 48.80959, Groupe CIC-Credit Mutuel, Fontenay le Fleury
5.50334, 45.34990, Credit Agricole, Rives sur Fure, rue du 8 mai 1945
1.27340, 45.82210, La Banque Postale, Limoges, 92 rue de Babylone
0.14979, 43.06445, Groupe CIC-Credit Mutuel, Bagneres de Bigorre
2.14825, 43.92742, Groupe CIC-Credit Mutuel, Albi
